지하철역,위도,경도
삼성중앙,127.053282,37.513011
압구정,127.028461,37.527072
봉은사,127.060245,37.514219
언주,127.033868,37.507287
압구정로데오,127.040534,37.527381
학동,127.031656,37.514229
삼성(무역센터),127.06316,37.508844
한티,127.052873,37.496237
구룡,127.058856,37.486839
개포동,127.06614,37.489116
일원,127.08439,37.483681
학여울,127.070594,37.496663
대치,127.063642,37.494612
매봉,127.046769,37.486947
역삼,127.036456,37.500622
대청,127.079532,37.493514
청담,127.05335,37.519365
대모산입구,127.07272,37.491373
강남,127.028008,37.4974135
강남구청,127.041203,37.517324
논현,127.021415,37.511093
도곡,127.055319,37.491073
선릉,127.048505,37.504571
선정릉,127.043838,37.510515999999996
수서,127.1016645,37.487425
신논현,127.02506,37.504598
신사,127.020114,37.516334
